clip_id,file_path,decision,reason,reviewer_id,rubric_version,ts
7MhLFqIwNmE_clip0008_t00069,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\7MhLFqIwNmE_clip0008_t00069.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:14:00
7640063825601105173_clip0009_t00100,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7640063825601105173_clip0009_t00100.mp4,reject,cut,nguyenminhnhat,v2,2026-07-23 13:42:47
RY6V7DqGnTw_clip0100_t00703,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\RY6V7DqGnTw_clip0100_t00703.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-23 11:11:30
7633306425007099143_clip0000_t00000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7633306425007099143_clip0000_t00000.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 11:11:38
2cg60JADoVY_clip0163_t00898,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\2cg60JADoVY_clip0163_t00898.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-23 11:11:48
qh78i88JEiU_clip0028_t00245,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\qh78i88JEiU_clip0028_t00245.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:08
7643422466957659399_clip0000_t00001,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7643422466957659399_clip0000_t00001.mp4,keep,,nguyenminhnhat,v2,2026-07-23 13:42:57
VqcyH3fnubE_clip0032_t00193,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400-440\tier1_v3_clips_400_440\VqcyH3fnubE_clip0032_t00193.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-23 13:43:02
mHTLamr-Zqk_clip0076_t00776,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0076_t00776.mp4,keep,,nguyenminhnhat,v2,2026-07-23 13:43:08
Wv2KVSy4j3E_clip0004_t00032,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400-440\tier1_v3_clips_400_440\Wv2KVSy4j3E_clip0004_t00032.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:15
2A2WBpeuVNw_clip0020_t00335,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\2A2WBpeuVNw_clip0020_t00335.mp4,reject,cut,nguyenminhnhat,v2,2026-07-23 11:09:37
mHTLamr-Zqk_clip0011_t00140,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0011_t00140.mp4,reject,cut,nguyenminhnhat,v2,2026-07-23 13:43:15
mHTLamr-Zqk_clip0058_t00638,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0058_t00638.mp4,keep,,nguyenminhnhat,v2,2026-07-23 13:43:23
P3K1OaKR4nY_clip0066_t00536,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\P3K1OaKR4nY_clip0066_t00536.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 11:09:40
7415622308691201288_clip0001_t00013,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7415622308691201288_clip0001_t00013.mp4,reject,broken,nguyenminhnhat,v2,2026-07-27 15:14:19
7439248144757443857_clip0001_t00012,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7439248144757443857_clip0001_t00012.mp4,reject,broken,nguyenminhnhat,v2,2026-07-27 15:14:22
g6hBKVh_7Pk_clip0028_t00229,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\g6hBKVh_7Pk_clip0028_t00229.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:14:31
0PsGwmgAI-k_clip0036_t00755,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\0PsGwmgAI-k_clip0036_t00755.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:14:35
3tEN20uif6g_clip0004_t00092,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\3tEN20uif6g_clip0004_t00092.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:19
b9_oesdIz-M_clip0023_t00186,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0023_t00186.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:14:47
b9_oesdIz-M_clip0024_t00190,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0024_t00190.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:14:53
b9_oesdIz-M_clip0025_t00194,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0025_t00194.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:14:59
7624919664694398229_clip0001_t00056,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7624919664694398229_clip0001_t00056.mp4,reject,cut,nguyenminhnhat,v2,2026-07-27 15:15:07
I-uqcg6HtaQ_clip0016_t00160,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\I-uqcg6HtaQ_clip0016_t00160.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 10:58:00
g6hBKVh_7Pk_clip0101_t01010,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\g6hBKVh_7Pk_clip0101_t01010.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:23
Nw3N73GJ2Zo_clip0019_t00321,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\Nw3N73GJ2Zo_clip0019_t00321.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:15:12
7628198311454903572_clip0000_t00008,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7628198311454903572_clip0000_t00008.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:15:33
7625975365168663828_clip0001_t00011,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7625975365168663828_clip0001_t00011.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:15:37
rGuraolgHIs_clip0012_t00148,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\rGuraolgHIs_clip0012_t00148.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:28
jInLQAiBlVQ_clip0010_t00247,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\jInLQAiBlVQ_clip0010_t00247.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:15:46
0-fu0N-npmg_clip0007_t00097,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0007_t00097.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:15:55
usfv-YmWPBs_clip0066_t01017,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\usfv-YmWPBs_clip0066_t01017.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:16:01
I-uqcg6HtaQ_clip0072_t00804,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\I-uqcg6HtaQ_clip0072_t00804.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:16:07
FufWLL1IIrQ_clip0040_t00233,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\FufWLL1IIrQ_clip0040_t00233.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:09
aArTJcMMmTw_clip0048_t00612,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\aArTJcMMmTw_clip0048_t00612.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:11
7MhLFqIwNmE_clip0020_t00212,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\7MhLFqIwNmE_clip0020_t00212.mp4,reject,cut,nguyenminhnhat,v2,2026-07-27 15:16:15
7643163282303388935_clip0003_t00060,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7643163282303388935_clip0003_t00060.mp4,reject,cut,nguyenminhnhat,v2,2026-07-23 11:12:35
mHTLamr-Zqk_clip0037_t00383,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0037_t00383.mp4,reject,broken,nguyenminhnhat,v2,2026-07-27 15:16:23
lq_tau31IE0_clip0018_t00411,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\lq_tau31IE0_clip0018_t00411.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:24
Nw3N73GJ2Zo_clip0038_t00476,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\Nw3N73GJ2Zo_clip0038_t00476.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:26
3tEN20uif6g_clip0083_t01106,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\3tEN20uif6g_clip0083_t01106.mp4,reject,mouth,nguyenminhnhat,v2,2026-07-27 15:16:32
hxoZsiA7Vs8_clip0090_t00574,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\hxoZsiA7Vs8_clip0090_t00574.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:34
lq_tau31IE0_clip0020_t00426,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\lq_tau31IE0_clip0020_t00426.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-27 15:16:36
0-fu0N-npmg_clip0009_t00123,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0009_t00123.mp4,reject,mouth,nguyenminhnhat,v2,2026-07-27 15:16:37
Wv2KVSy4j3E_clip0041_t00327,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400-440\tier1_v3_clips_400_440\Wv2KVSy4j3E_clip0041_t00327.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 10:58:02
0-fu0N-npmg_clip0003_t00070,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0003_t00070.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-23 11:10:06
cVabKjWav-Y_clip0004_t00016,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\cVabKjWav-Y_clip0004_t00016.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:17:06
qwnzKjjauR8_clip0000_t00007,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\qwnzKjjauR8_clip0000_t00007.mp4,keep,,nguyenminhnhat,v2,2026-07-27 15:17:07
usfv-YmWPBs_clip0037_t00613,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\usfv-YmWPBs_clip0037_t00613.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 11:12:37
wKaFsRX95YY_clip0033_t00390,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\wKaFsRX95YY_clip0033_t00390.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:42
